name,latitude,longitude,size,color
COGENERADOR PROENCA,10.3944,-75.4832,0.07,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
BAJO TULUA,4.084656,-76.195358,0.07,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
GUAVIO MENOR,4.819722,-73.635556,0.07,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
RIO FRIO II,11.2408,-74.211,0.07,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
TERMODORADA 1,5.0703,-75.5138,0.07,#556b2f
Manizales / La Nubia,5.0333,-75.4667,3.0,#702963
MULATOS II,6.3155,-76.1346,0.06,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
RIONEGRO,6.1621,-75.3738,0.06,#556b2f
Rionegro / J. M. Cordova,6.1333,-75.4333,3.0,#702963
TRINA-VATIA BSLI,4.60971,-74.08175,0.06,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
ZIPAEMG 2,5.0241,-74.0058,0.06,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
ZIPAEMG 3,5.0221,-74.0049,0.06,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
TRINA-VATIA BSLII,9.9711,73.8987,0.05,#556b2f
Amini Divi,11.1167,72.7333,3.0,#702963
COGENERADOR MANUELITA 2,3.5375,-76.2975,0.05,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
TRINA-VATIA BSLIII,6.217,-75.567,0.05,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
PRADO IV,10.9682,-74.7813,0.05,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
PROVIDENCIA,13.3719,-81.3729,0.05,#556b2f
Providencia Isla / El Embrujo,13.3667,-81.35,3.0,#702963
SUEVA 2,5.138378,-73.680378,0.05,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
MAGALLO,7.065278,-73.854722,0.05,#556b2f
Barrancabermeja / Yariguies,7.0167,-73.8,3.0,#702963
AUTG CEMENTOS DEL NARE,6.55687,-73.13323,0.04,#556b2f
Bucaramanga / Palonegro,7.1,-73.2,3.0,#702963
NIMA,4.300882,-74.80375,0.04,#556b2f
Girardot / Santiago Villa,4.2833,-74.8,3.0,#702963
CANTAYUS,7.3769,-74.1215,0.04,#556b2f
Barrancabermeja / Yariguies,7.0167,-73.8,3.0,#702963
RIO BOBO,3.8801,-77.0312,0.04,#556b2f
Buenaventura,3.85,-76.9667,3.0,#702963
AUTOG ARGOS SOGAMOSO,5.71,-72.9333,0.04,#556b2f
Tame / Tame,6.45,-71.75,3.0,#702963
LA NAVETA,10.9174,-74.7943,0.03,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
MERILECTRICA 1,3.4372,-76.5225,0.03,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
COCONUCO,2.3472,-76.5475,0.03,#556b2f
Popayan / Guillermo,2.4667,-76.6,3.0,#702963
PUENTE GUILLERMO,4.3,-74.8,0.03,#556b2f
Girardot / Santiago Villa,4.2833,-74.8,3.0,#702963
JUAN GARCIA,11.2404,-74.211,0.03,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
NUEVO LIBARE,10.9587,-74.8017,0.03,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
MIROLINDO,4.43,-75.21,0.03,#556b2f
Ibague / Perales,4.4333,-75.15,3.0,#702963
